Cities,Density,Alpha,Beta,Baseline,goldThief,Improvement_%
10,0.2,0.0,0.5,16.76,8.83,47.3
10,0.2,0.0,1.0,16.76,8.83,47.3
10,0.2,0.0,2.0,16.76,8.83,47.3
10,0.2,0.0,4.0,16.76,7.27,56.63
10,0.2,1.0,0.5,200.79,186.42,7.16
10,0.2,1.0,1.0,4896.29,4888.5,0.16
10,0.2,1.0,2.0,5040210.47,3150362.29,37.5
10,0.2,1.0,4.0,8630924594765.85,1745499746893.88,79.78
10,0.2,2.0,0.5,277.02,258.79,6.58
10,0.2,2.0,1.0,9775.81,9768.03,0.08
10,0.2,2.0,2.0,20160791.6,12601408.63,37.5
10,0.2,2.0,4.0,138094793516002.27,27927995950099.4,79.78
10,0.2,4.0,0.5,384.83,361.14,6.16
10,0.2,4.0,1.0,19534.87,19527.08,0.04
10,0.2,4.0,2.0,80643116.14,50405593.98,37.5
10,0.2,4.0,4.0,2209516696255785.5,446847935201387.8,79.78
10,0.5,0.0,0.5,8.16,5.15,36.9
10,0.5,0.0,1.0,8.16,5.15,36.9
10,0.5,0.0,2.0,8.16,5.15,36.9
10,0.5,0.0,4.0,8.16,4.88,40.15
10,0.5,1.0,0.5,134.66,130.3,3.23
10,0.5,1.0,1.0,2100.68,2099.22,0.07
10,0.5,1.0,2.0,712802.65,610113.54,14.41
10,0.5,1.0,4.0,112781534773.12,65515481515.84,41.91
10,0.5,2.0,0.5,187.05,181.72,2.85
10,0.5,2.0,1.0,4193.2,4191.74,0.03
10,0.5,2.0,2.0,2851186.12,2440433.85,14.41
10,0.5,2.0,4.0,1804504556247.56,1048247704152.02,41.91
10,0.5,4.0,0.5,261.16,254.43,2.58
10,0.5,4.0,1.0,8378.24,8376.79,0.02
10,0.5,4.0,2.0,11404720.0,9761715.1,14.41
10,0.5,4.0,4.0,28872072899838.64,16771963266330.8,41.91
10,1.0,0.0,0.5,7.34,3.9,46.9
10,1.0,0.0,1.0,7.34,3.9,46.9
10,1.0,0.0,2.0,7.34,3.9,46.9
10,1.0,0.0,4.0,7.34,3.58,51.22
10,1.0,1.0,0.5,127.74,119.26,6.64
10,1.0,1.0,1.0,1871.77,1871.77,0.0
10,1.0,1.0,2.0,544978.88,544978.88,0.0
10,1.0,1.0,4.0,59160486867.93,59160486867.93,0.0
10,1.0,2.0,0.5,177.61,166.71,6.14
10,1.0,2.0,1.0,3736.21,3736.21,0.0
10,1.0,2.0,2.0,2179893.51,2179893.51,0.0
10,1.0,2.0,4.0,946567789776.91,946567789776.91,0.0
10,1.0,4.0,0.5,248.15,233.8,5.78
10,1.0,4.0,1.0,7465.09,7465.09,0.0
10,1.0,4.0,2.0,8719552.03,8719552.03,0.0
10,1.0,4.0,4.0,15145084636320.54,15145084636320.54,0.0
50,0.2,0.0,0.5,53.72,27.79,48.27
50,0.2,0.0,1.0,53.72,27.79,48.27
50,0.2,0.0,2.0,53.72,27.79,48.27
50,0.2,0.0,4.0,53.72,24.03,55.27
50,0.2,1.0,0.5,798.13,741.14,7.14
50,0.2,1.0,1.0,12897.33,12885.36,0.09
50,0.2,1.0,2.0,4932057.91,4277295.59,13.28
50,0.2,1.0,4.0,1405844624649.76,612005661488.78,56.47
50,0.2,2.0,0.5,1106.48,1033.76,6.57
50,0.2,2.0,1.0,25740.94,25728.97,0.05
50,0.2,2.0,2.0,19728070.49,17109032.57,13.28
50,0.2,2.0,4.0,22493513993590.42,9792090583088.14,56.47
50,0.2,4.0,0.5,1542.55,1447.57,6.16
50,0.2,4.0,1.0,51428.16,51416.2,0.02
50,0.2,4.0,2.0,78912120.8,68435980.5,13.28
50,0.2,4.0,4.0,359896223896641.06,156673449328677.94,56.47
50,0.5,0.0,0.5,38.35,17.93,53.24
50,0.5,0.0,1.0,38.35,17.93,53.24
50,0.5,0.0,2.0,38.35,17.93,53.24
50,0.5,0.0,4.0,38.35,15.0,60.88
50,0.5,1.0,0.5,675.39,611.48,9.46
50,0.5,1.0,1.0,9408.58,9398.61,0.11
50,0.5,1.0,2.0,2489810.78,2166704.31,12.98
50,0.5,1.0,4.0,281876565591.2,147528876020.29,47.66
50,0.5,2.0,0.5,939.26,855.32,8.94
50,0.5,2.0,1.0,18778.81,18769.74,0.05
50,0.5,2.0,2.0,9959128.06,8666713.18,12.98
50,0.5,2.0,4.0,4510025048883.97,2360462015802.79,47.66
50,0.5,4.0,0.5,1312.43,1200.72,8.51
50,0.5,4.0,1.0,37519.26,37510.44,0.02
50,0.5,4.0,2.0,39836397.17,34666748.66,12.98
50,0.5,4.0,4.0,72160400781568.16,37767392252322.92,47.66
50,1.0,0.0,0.5,35.71,15.02,57.92
50,1.0,0.0,1.0,35.71,15.02,57.92
50,1.0,0.0,2.0,35.71,15.02,57.92
50,1.0,0.0,4.0,35.71,12.75,64.3
50,1.0,1.0,0.5,646.43,562.65,12.96
50,1.0,1.0,1.0,8662.89,8657.77,0.06
50,1.0,1.0,2.0,2121786.14,1858705.84,12.4
50,1.0,1.0,4.0,207399995524.65,108304964499.24,47.78
50,1.0,2.0,0.5,899.4,788.48,12.33
50,1.0,2.0,1.0,17290.08,17286.4,0.02
50,1.0,2.0,2.0,8487037.45,7434728.31,12.4
50,1.0,2.0,4.0,3318399927858.8,1732879431516.83,47.78
50,1.0,4.0,0.5,1257.16,1107.85,11.88
50,1.0,4.0,1.0,34544.45,34541.95,0.01
50,1.0,4.0,2.0,33948042.67,29738818.19,12.4
50,1.0,4.0,4.0,53094398845205.16,27726070903798.38,47.78
100,0.2,0.0,0.5,107.5,49.03,54.39
100,0.2,0.0,1.0,107.5,49.03,54.39
100,0.2,0.0,2.0,107.5,49.03,54.39
100,0.2,0.0,4.0,107.5,46.75,56.52
